Date,Open,High,Low,Close,Adj Close,Volume
10/4/1989,2.46875,2.546875,2.4375,2.5,1.24506,20636000
10/5/1989,2.515625,2.625,2.5,2.578125,1.283968,6453600
10/6/1989,2.59375,2.625,2.546875,2.546875,1.268405,2755200
10/9/1989,2.546875,2.546875,2.5,2.546875,1.268405,1084000
10/10/1989,2.5625,2.5625,2.5,2.53125,1.260624,1493600
10/11/1989,2.5,2.515625,2.46875,2.515625,1.252842,1260000
10/12/1989,2.515625,2.546875,2.515625,2.53125,1.260624,602400
10/13/1989,2.53125,2.53125,2.46875,2.484375,1.237279,3970400
10/16/1989,2.375,2.46875,2.375,2.46875,1.229497,3924800
10/17/1989,2.4375,2.5,2.4375,2.5,1.24506,1843200
10/18/1989,2.5,2.5625,2.484375,2.546875,1.268405,1128000
10/19/1989,2.53125,2.546875,2.53125,2.546875,1.268405,1040000
10/20/1989,2.53125,2.53125,2.515625,2.53125,1.260624,237600
10/23/1989,2.546875,2.5625,2.546875,2.546875,1.268405,87200
10/24/1989,2.546875,2.5625,2.53125,2.5625,1.276186,689600
10/25/1989,2.546875,2.578125,2.515625,2.546875,1.268405,608000
10/26/1989,2.546875,2.5625,2.546875,2.546875,1.268405,228800
10/27/1989,2.546875,2.546875,2.5,2.515625,1.252842,456000
10/30/1989,2.515625,2.515625,2.5,2.5,1.24506,250400
10/31/1989,2.5,2.515625,2.5,2.5,1.24506,424800
11/1/1989,2.515625,2.5625,2.515625,2.5625,1.276186,715200
11/2/1989,2.59375,2.640625,2.59375,2.640625,1.315095,130400
11/3/1989,2.625,2.75,2.625,2.734375,1.361784,1118400
11/6/1989,2.71875,2.71875,2.578125,2.578125,1.283968,264800
11/7/1989,2.546875,2.6875,2.5,2.6875,1.33844,727200
11/8/1989,2.6875,2.71875,2.671875,2.71875,1.354003,236800
11/9/1989,2.71875,2.71875,2.6875,2.6875,1.33844,60800
11/10/1989,2.6875,2.6875,2.546875,2.5625,1.276186,210400
11/13/1989,2.5625,2.5625,2.515625,2.546875,1.268405,92800
11/14/1989,2.578125,2.578125,2.484375,2.53125,1.260624,428000
11/15/1989,2.546875,2.578125,2.53125,2.5625,1.276186,176000
11/16/1989,2.546875,2.59375,2.546875,2.59375,1.29175,301600
11/17/1989,2.59375,2.640625,2.59375,2.640625,1.315095,249600
11/20/1989,2.65625,2.65625,2.609375,2.609375,1.299532,43200
11/21/1989,2.59375,2.671875,2.59375,2.671875,1.330658,108800
11/22/1989,2.6875,2.75,2.6875,2.75,1.369567,255200
11/24/1989,2.78125,2.953125,2.78125,2.921875,1.455164,572000
11/27/1989,2.90625,2.9375,2.859375,2.875,1.431819,253600
11/28/1989,2.875,2.875,2.828125,2.828125,1.408474,560000
11/29/1989,2.8125,2.8125,2.78125,2.796875,1.39291,60800
11/30/1989,2.8125,2.90625,2.8125,2.890625,1.4396,712800
12/1/1989,2.890625,2.953125,2.890625,2.90625,1.447382,356800
12/4/1989,2.9375,2.984375,2.875,2.984375,1.486291,172000
12/5/1989,2.953125,2.984375,2.90625,2.90625,1.447382,93600
12/6/1989,2.90625,3,2.90625,2.984375,1.486291,668800
12/7/1989,2.984375,2.984375,2.921875,2.953125,1.470727,215200
